recv[690] = 2.614449, hard = 1
recv[691] = -3.590534, hard = 0
recv[692] = -0.721953, hard = 0
recv[693] = 0.814028, hard = 1
recv[694] = -1.067776, hard = 0
recv[695] = 1.770438, hard = 1
recv[696] = -1.233612, hard = 0
recv[697] = -0.965937, hard = 0
recv[698] = -0.683798, hard = 0
recv[699] = -2.408090, hard = 0
recv[700] = 1.119665, hard = 1
recv[701] = 0.715149, hard = 1
recv[702] = 0.186869, hard = 1
recv[703] = -1.835326, hard = 0
recv[704] = -1.140923, hard = 0
recv[705] = -1.191610, hard = 0
recv[706] = -0.884376, hard = 0
recv[707] = -0.216455, hard = 0
recv[708] = -1.415728, hard = 0
recv[709] = -1.602513, hard = 0
recv[710] = -0.190776, hard = 0
recv[711] = -1.069117, hard = 0
recv[712] = 0.749511, hard = 1
recv[713] = 1.815969, hard = 1
recv[714] = 0.890195, hard = 1
recv[715] = 0.454482, hard = 1
recv[716] = -2.280540, hard = 0
recv[717] = -1.347114, hard = 0
recv[718] = 2.382862, hard = 1
recv[719] = 1.226157, hard = 1
recv[720] = 1.746695, hard = 1
recv[721] = 0.805511, hard = 1
recv[722] = 1.015792, hard = 1
recv[723] = 0.298706, hard = 1
recv[724] = 1.586779, hard = 1
recv[725] = -1.909516, hard = 0
recv[726] = 1.393774, hard = 1
recv[727] = 2.054894, hard = 1
recv[728] = -0.904653, hard = 0
recv[729] = 1.436048, hard = 1
recv[730] = -1.070738, hard = 0
recv[731] = -1.623008, hard = 0
recv[732] = 1.807981, hard = 1
recv[733] = 0.764636, hard = 1
recv[734] = 0.805785, hard = 1
recv[735] = 0.892539, hard = 1
recv[736] = 0.504013, hard = 1
recv[737] = 0.905483, hard = 1
recv[738] = -1.057732, hard = 0
recv[739] = -0.351467, hard = 0
recv[740] = 2.053753, hard = 1
recv[741] = 1.644692, hard = 1
recv[742] = 1.045663, hard = 1
recv[743] = -2.031645, hard = 0
recv[744] = -0.085077, hard = 0
recv[745] = -0.844935, hard = 0
recv[746] = -1.480408, hard = 0
recv[747] = -0.320418, hard = 0
recv[748] = 1.161447, hard = 1
recv[749] = 0.694618, hard = 1
recv[750] = -2.355961, hard = 0
recv[751] = 1.554007, hard = 1
recv[752] = -0.009310, hard = 0
recv[753] = 2.050418, hard = 1
recv[754] = 1.919529, hard = 1
recv[755] = 0.844973, hard = 1
recv[756] = -1.841984, hard = 0
recv[757] = -1.939692, hard = 0
recv[758] = 1.447069, hard = 1
recv[759] = 0.564166, hard = 1
recv[760] = 0.739227, hard = 1
recv[761] = -1.568192, hard = 0
recv[762] = 1.430610, hard = 1
recv[763] = -2.087653, hard = 0
recv[764] = -0.459131, hard = 0
recv[765] = 1.542639, hard = 1
recv[766] = 0.607604, hard = 1
recv[767] = 0.456022, hard = 1
recv[768] = 1.303103, hard = 1
recv[769] = 0.009181, hard = 1
recv[770] = 0.847859, hard = 1
recv[771] = 1.196617, hard = 1
recv[772] = 0.206666, hard = 1
recv[773] = -0.795319, hard = 0
recv[774] = 2.737175, hard = 1
recv[775] = -0.470621, hard = 0
recv[776] = 0.301288, hard = 1
